u.c.	.u
aptvert	aptver
apvienot	apvienot
apzināties	apzinās
apzināti	apzināti
ar	ar
arhitektūra	arhitektūras
arī	ari
arī	arī
asins	asinis
asins	asinīm
atbalstīt	atbalstīja
atbalstīt	atbalstīt
atbildēt	atbildēt
atbildīgs	atbildīgs
atbilst	atbilstoša
atbilst	atbilstošas
atbilst	atbilstošu
atbraukt	atbrauc
atbraukt	atbrauca
atgādināt	atgādina
atgādināt	atgādināja
atjaunot	atjaunota
atklāt	atklāta
atklāt	atklātas
atklāt	atklāts
atlikt	atlicis
atlikt	atliek
atlikt	atlikušo
atnākt	atnāca
atrast	atradusi
atrast	atrast
atrast	atrasts
atrašanās	atrašanās
atsaukties	atsaucas
atsaukties	atsaucoties
atskanēt	atskan
atspoguļoties	atspoguļojas
atteikties	atteicās
attiekties	attiecas
attiecīgs	attiecīgo
attīstīties	attīstās
attīstīties	attīstījās
atvest	atveda
atveidot	atveido
atvērt	atvērt
atvērties	atvērās
atzinīgi	atzinīgi
atzīmēt	atzīmē
atzīmēt	atzīmēja
atzīt	atzīti
atļauja	atļauju
atļaut	atļāva
atšķirt	atšķir
atšķirties	atšķiras
audzinātāja	audzinātāja
augt	aug
augsts	augstas
augsts	augstiem
augsts	augsto
augsts	augstāko
augsts	augstākā
augsts	augstākās
augt	augt
augt	auguši
auksti	auksti
auto	auto
autore	autore
autoritāte	autoritāti
b	b
bagāts	bagātie
ballīte	ballīti
balstīties	balstoties
balstīties	balstās
balts	baltas
Baltija	baltijas
balts	balto
baltvācietis	baltvāciešu
balzams	balzama
baranka	barankas
barikāde	barikāžu
bauma	baumas
baža	bažas
beigties	beidzas
beigties	beidzies
beigties	beidzās
beigties	beigsies
benzīns	benzīna
bet	bet
bez	bez
biedrs	biedru
bieži	bieži
bieži	biežāk
būt	bij
būt	bijusi
būt	bijušais
būt	bijušas
būt	bijuši
būt	bijušo
būt	bijušā
būt	bijušās
bioloģiski	bioloģiski
bizness	biznesa
blakus	blakus
bojāgājušais	bojāgājušo
braukt	braucamo
braukt	braukt
brist	brida
briesmīgi	briesmīgi
Brige	brige
bruņot	bruņoto
brīdināt	brīdina
brīvi	brīvi
budžets	budžeta
budžets	budžetā
bulvāris	bulvāri
burvis	burvju
bēglis	bēgļu
bērniņš	bērniņš
būtisks	būtiskas
caca	cacas
caur	caur
cauri	cauri
celt	celta
celties	celties
censties	centos
centrāls	centrālajā
cerēt	cerēt
ceturksnis	ceturksni
ceturksnis	ceturksnī
celt	ceļ
celties	ceļas
cienīt	cienījamie
ciets	cietajām
ciest	cietušo
cilvēktiesības	cilvēktiesību
cita	citai
cita	citas
cittautietis	cittautiešu
citādi	citādāk
cita	citām
cita	citās
celties	cēlusies
celties	cēlās
dabūt	dabūt
darboties	darbojas
darboties	darbojoties
darboties	darbojās
darīt	darīt
dati	datiem
dati	datu
dati	datus
daudzdzīvokļu	daudzdzīvokļu
daudzi	daudzi
daža	dažas
daža	dažām
daža	dažās
deficīts	deficītu
dejot	dejot
deklarācija	deklarāciju
departaments	departamenta
deputāte	deputāte
desmits	desmiti
desmits	desmitiem
deviņdesmitais	deviņdesmito
doties	devos
doties	devušies
devējs	devēja
devējs	devējam
devējs	devēji
devējs	devēju
diemžēl	diemžēl
diena	diena
diez	diez
diezin	diezin
direktore	direktore
direktīva	direktīvas
direktīva	direktīvu
direktīva	direktīvā
dominēt	dominē
domāt	domā
domāt	domāt
domāt	domāta
domāt	domāts
dot	dot
dot	dota
doties	doties
doties	dotos
dot	dots
draudēt	draud
drauds	draudiem
drauds	draudus
draudzene	draudzene
draudēt	draudēja
droši	droši
drēbe	drēbes
drēbe	drēbēm
dzert	dzert
dzimt	dzimusi
dzimt	dzimuši
dzimt	dzimušo
dzimt	dzimušu
dzirdēt	dzirdējusi
dzirdēt	dzirdējuši
dzirdēt	dzirdēt
dziļš	dziļas
dziļi	dziļi
dziļi	dziļāk
dzīvot	dzīvojamās
dzīvot	dzīvot
dēvēt	dēvē
dēļ	dēļ
dīvāns	dīvānā
e-paraksts	e-paraksta
e-paraksts	e-parakstu
efektivitāte	efektivitāti
eiropietis	eiropiešu
iet	eju
ekoloģiski	ekoloģiski
ekonomisks	ekonomisko
ekrāns	ekrānā
eksperte	eksperte
elite	elites
būt	esošais
būt	esošajiem
būt	esošo
būt	esošā
būt	esošās
estrāde	estrādē
būt	esu
etnisks	etnisko
evidencialitāte	evidencialitātes
faktiski	faktiski
faktors	faktori
faktors	faktoriem
faktors	faktoru
faktors	faktorus
fans	fani
festivāls	festivāla
filmēt	filmē
filosofs	filosofi
filosofs	filosofiem
finanses	finanšu
firma	firmas
fiziski	fiziski
fon	fon
fonds	fonda
fonds	fondu
forma	formas
forma	formu
forma	formā
forma	formām
formāts	formātā
fosils	fosilo
fosils	fosilās
fronte	frontes
gabaliņš	gabaliņos
gadīties	gadās
gadīties	gadījies
gaidīt	gaidāma
gaidīt	gaidāmā
gan	gan
gana	gana
gar	gar
garantija	garantiju
garš	garo
garām	garām
garš	garās
Gastons	gastons
gatavs	gatavas
gatavoties	gatavojas
gatavoties	gatavojoties
gatavoties	gatavojās
gatavot	gatavot
gluži	gluži
glābt	glābt
glābējs	glābēji
grasīties	grasās
gribēties	gribējās
gribēties	gribētos
griezt	griezt
griezties	griežas
grozījums	grozījumi
grozījums	grozījumiem
grozījums	grozījumus
grāds	grādiem
grāds	grādu
grūti	grūti
grūti	grūtāk
gulēt	gulēt
iet	gājis
iet	gājuši
gājējs	gājēju
Gūtenmorgens	gūtenmorgens
hektārs	hektāra
hektārs	hektāru
iebilst	iebilda
iecere	ieceres
iecerēt	iecerējis
iecerēt	iecerēts
iecirknis	iecirkņa
iedarboties	iedarbojas
iedomāties	iedomājas
iedomāties	iedomājieties
iedomāties	iedomājās
iedot	iedot
iedvesmot	iedvesmo
iegūt	ieguva
iegūt	ieguvis
iegūt	ieguvuši
iegūt	iegūst
iegūt	iegūta
iegūt	iegūtu
ieinteresēt	ieinteresēti
iekļaut	iekļauta
iekļūt	iekļūt
iekšā	iekšā
iekšēji	iekšēji
iekšējs	iekšējo
iemaņa	iemaņas
iemītnieks	iemītniekiem
ienākt	ienāca
ienākt	ienāk
ierasties	ieradusies
ierasties	ieradušies
ieraksts	ierakstu
ierast	ierasto
ieraudzīt	ieraudzīja
ieraudzīt	ieraudzīju
ieraudzīt	ieraugot
ierašanās	ierašanās
ierobežojums	ierobežojumiem
ierobežojums	ierobežojumus
ierobežot	ierobežotas
iesaistīt	iesaistīti
iesacīt	iesaka
iesacīt	iesaku
ieskaitīt	ieskaitot
iespaidot	iespaido
iespaids	iespaidu
iespēja	iespēja
iespējams	iespējams
iestudējums	iestudējums
iestāties	iestājoties
iestāties	iestājās
ietekmēt	ietekmēs
ietekmēt	ietekmēt
ietilpt	ietilpst
ietvars	ietvaros
ietvert	ietver
Ieva	ieva
ieviest	ieviesa
ievēlēt	ievēlēts
ievērot	ievērojamu
ieņemt	ieņem
ieņemt	ieņēma
ignorēt	ignorē
ik	ik
ikviena	ikvienai
ikviens	ikvienam
ikviena	ikvienas
ikviens	ikviens
ikviens	ikvienu
ilgi	ilgi
ilgt	ilgst
ilgt	ilgstošs
ilgtermiņš	ilgtermiņa
ilgtermiņš	ilgtermiņā
ilgi	ilgāk
ilgs	ilgāku
imigrants	imigrantiem
imigrants	imigrantu
indekss	indeksu
indivīds	indivīdu
Inese	inese
inficēties	inficēties
informēt	informē
informēt	informēja
institūcija	institūciju
institūcija	institūcijām
interesents	interesenti
interese	intereses
interese	interesi
interesēt	interesē
interesēties	interesējas
interese	interešu
internets	interneta
internets	internetu
internets	internetā
intervija	interviju
intervija	intervijā
investīcija	investīciju
it	it
itin	itin
Iveta	iveta
izaugsme	izaugsmes
izcelsme	izcelsmes
izcelties	izcēlās
izcīnīt	izcīnīja
izcīņa	izcīņā
izdot	izdeva
izdoties	izdevies
izdevums	izdevumi
izdevums	izdevumiem
izdevums	izdevumus
izdoties	izdevās
izdoties	izdodas
izdoties	izdosies
izklaide	izklaides
izklausīties	izklausās
izkāpt	izkāpa
izlase	izlases
izlemt	izlēma
izlīst	izlīda
izmaiņa	izmaiņas
izmaiņa	izmaiņām
izmaksāt	izmaksā
izmaksāt	izmaksās
izmaksāt	izmaksāt
izmantot	izmantota
izmantot	izmantoti
izmantot	izmantots
izmantošana	izmantošana
iznākt	iznāk
izpausties	izpaudās
izpausme	izpausmi
izpausties	izpaužas
izpilddirektore	izpilddirektore
izpilde	izpildei
izpilde	izpildes
izpilde	izpildi
izplatīties	izplatās
izraisīt	izraisa
izraisīt	izraisīja
izredze	izredzes
izrietēt	izriet
izrādīties	izrādās
izrādīties	izrādījās
izsacīt	izsaka
izskats	izskatu
izstrāde	izstrādes
izstrāde	izstrādi
izteikties	izteicās
izteikt	izteikt
izteikt	izteikta
izteikties	izteikusies
izvairīties	izvairītos
izveide	izveidi
izveidoties	izveidojies
izveidoties	izveidojusies
izveidoties	izveidojās
izvietot	izvietoti
izvirzīt	izvirza
izvēlēt	izvēlēto
izvērtēt	izvērtējot
izņemt	izņemot
izņemt	izņēma
izņēmums	izņēmums
ja	ja
Jasmīne	jasmīne
jau	jau
jauda	jaudas
jauns	jaunajiem
jauns	jaunajos
jauns	jaunajā
jauns	jaunajām
jauns	jaunas
jauns	jaunie
jauns	jauniem
jaunietis	jauniešu
jauns	jauno
jauns	jaunākie
jauns	jaunākā
jausma	jausmas
jeb	jeb
jebkas	jebko
jebkura	jebkura
jebkurš	jebkuram
jebkura	jebkuras
jebkurš	jebkurš
jebkāds	jebkāda
jebkāda	jebkādas
jo	jo
joga	jogas
joma	jomas
joma	jomām
joma	jomās
juridisks	juridisko
jurists	juristu
justies	justies
justies	jutās
jā	jā
apzināties	jāapzinās
atzīmēt	jāatzīmē
nodrošināt	jānodrošina
paveikt	jāpaveic
pieņemt	jāpieņem
rēķināties	jārēķinās
secināt	jāsecina
sekot	jāseko
justies	jūtos
ka	ka
kabinets	kabineta
kabinets	kabinetā
kadastrs	kadastra
kadastrāls	kadastrālo
kadastrāls	kadastrālās
kamēr	kamēr
kandidāts	kandidātu
kandidāts	kandidātus
kastīte	kastītes
kategorija	kategorija
kategoriski	kategoriski
katra	katrai
katra	katras
kavēt	kavē
klimats	klimata
klātiene	klātienē
klēpis	klēpī
koeficients	koeficientu
kolektīvs	kolektīvu
kolēģis	kolēģi
kolēģis	kolēģiem
komisija	komisijā
komplekss	kompleksu
kompānija	kompāniju
konference	konferenci
konference	konferencē
konflikts	konflikta
konflikts	konflikti
konflikts	konflikts
konflikts	konfliktu
konflikts	konfliktus
konkrēts	konkrētajā
konkrēts	konkrēto
konstatēt	konstatēta
konstatēt	konstatēti
konstatēt	konstatēts
konstrukcija	konstrukciju
konsultācija	konsultāciju
konteiners	konteineri
konteksts	kontekstā
kontrolēt	kontrolēt
koordinēt	koordinē
kopprodukts	kopprodukta
kopīgs	kopīgo
kopš	kopš
kostīms	kostīmu
kredīts	kredīta
kredīts	kredītu
kreiss	kreisajā
krieviski	krieviski
krimināltiesības	krimināltiesību
kritiķis	kritiķi
kritiķis	kritiķu
kritums	kritums
krājaizdevu	krājaizdevu
krēms	krēma
krēms	krēmu
krēsls	krēslu
krēsls	krēslā
krist	krīt
kundze	kundze
kundze	kundzei
kur	kur
kura	kurai
kurš	kuram
kura	kuras
kuriene	kurienes
kurš	kuros
kurš	kurus
kura	kurām
kura	kurās
kvalificēt	kvalificētu
kvalitatīvs	kvalitatīvas
kviesis	kviešu
kā	kā
kāda	kādai
kāda	kādas
kāda	kādām
kāda	kādās
kāpa	kāpas
kārtējs	kārtējo
kārtīgi	kārtīgi
kļūt	kļuvis
kļūt	kļuvusi
kļūt	kļuvušas
kļūt	kļūt
labs	labas
labs	labiem
labs	labo
labi	labāk
labs	labāka
labs	labākajiem
labs	labākajā
labs	labākas
labs	labāki
labs	labāko
labs	labāku
labs	labākā
labs	labākās
lai	lai
laikam	laikam
laime	laimi
lasīt	lasīt
lats	latiem
lats	latu
latvietis	latviešu
latviski	latviski
lemt	lemts
likt	liec
liecinieks	liecinieki
likties	liekas
liels	lielajiem
liels	lielajā
liels	lielas
liels	lielie
liels	lieliem
liels	lielo
liels	lielāka
liels	lielākais
liels	lielākajiem
liels	lielākas
liels	lielākie
liels	lielāko
liels	lielāku
liels	lielākā
lieta	lieta
lieta	lietas
lietderīgi	lietderīgi
lietuvietis	lietuviešu
lieta	lietās
likme	likmes
likme	likmi
likme	likmju
litrs	litru
loģiski	loģiski
lēni	lēni
lēnām	lēnām
lībietis	lībiešu
līdz	līdz
līdzi	līdzi
līdzināties	līdzinās
līdzko	līdzko
līdzšinējs	līdzšinējā
līga	līgas
mainīties	mainās
mainīties	mainījies
mainīties	mainījās
mainīt	mainīt
mainīties	mainīties
maizīte	maizītes
maiņa	maiņu
maksimāli	maksimāli
maksāt	maksā
maksātnespēja	maksātnespējas
mana	manai
mana	manas
manuprāt	manuprāt
mana	manām
maz	maz
mazs	mazajam
mazs	mazajiem
mazs	mazajā
mazs	mazie
mazs	maziem
mazs	mazo
mazs	mazāka
mazs	mazāko
mazs	mazākos
mačs	mača
medijs	mediji
medijs	mediju
medikaments	medikamenti
mediķis	mediķi
mediķis	mediķu
medības	medību
meistars	meistara
meistars	meistaram
meklējums	meklējumos
meklēt	meklēt
melns	melnas
melns	melno
mesties	metas
mesties	metās
Mia	mia
migrants	migrantu
Mihaels	mihaels
militārs	militāro
mincis	minci
ministrs	ministru
minēt	minētajiem
minēt	minētajā
minēt	minēto
minēt	minētā
mirklis	mirkli
mirklis	mirklī
mirt	mirusi
mirt	mirušo
mitināties	mitinās
mobilizācija	mobilizāciju
mobils	mobilo
modalitāte	modalitātes
modelis	modeli
modelis	modelī
mode	modes
modelis	modeļa
modelis	modeļu
mudināt	mudina
māksliniece	māksliniece
māksliniece	mākslinieces
māmiņa	māmiņas
Māris	māris
mēgt	mēdz
mēgt	mēdza
mēnesis	mēnesī
mēnesis	mēneša
mēnesis	mēnešu
mērs	mērā
mēģināt	mēģina
mēģināt	mēģinot
mēģināt	mēģināja
mēģināt	mēģinājis
mēģināt	mēģināju
mēģinājums	mēģinājums
mēģināt	mēģināts
mīksts	mīkstajām
mīla	mīlas
mīlēt	mīlēt
mīļot	mīļotais
mūsdienas	mūsdienu
mūsdienas	mūsdienās
mēs	mūsu
mūžīgi	mūžīgi
nacionāls	nacionālo
narkotisks	narkotisko
ne	ne
atbilst	neatbilst
atcerēties	neatceros
neatkarīgi	neatkarīgi
atklāt	neatklāj
būt	nebija
būt	nebiju
būt	nebijām
būt	nebijāt
būt	nebūs
būt	nebūsi
būt	nebūtu
dot	nedod
domāt	nedomā
domāt	nedomāju
domāt	nedomāt
drīkstēt	nedrīkst
nedz	nedz
būt	neesam
būt	neesat
būt	neesi
būt	neesmu
būt	neesot
negatīvs	negatīvas
gribēt	negrib
gribēties	negribas
gribēt	negribu
gribēt	negribēja
gribēt	negribētu
iet	negāja
iet	neiet
ietekmēt	neietekmē
neilgi	neilgi
izdoties	neizdevās
izdoties	neizdodas
kavēties	nekavējoties
nekur	nekur
nekustams	nekustamo
nekāda	nekādas
neliels	neliela
neliels	nelielas
neliels	neliels
neliels	nelielu
neliels	nelielā
nelikumīgi	nelikumīgi
mēgt	nemēdz
nenoliedzami	nenoliedzami
notikt	nenotiek
nozīmēt	nenozīmē
nākt	nenāca
nākt	nenāk
nepareizi	nepareizi
patikt	nepatīk
pietikt	nepietiek
pieļaut	nepieļautu
prast	neprot
redzēt	neredz
redzēt	neredzu
runāt	nerunā
nervs	nervu
saprast	nesaprot
saprast	nesaprotu
skaitīt	neskaitāmas
skatīties	neskatoties
spēt	nespēj
spēt	nespēja
spēt	nespējot
spēt	nespēs
ticēt	netic
neticami	neticami
tikt	netiek
tikt	netika
tikt	netiks
tikt	netiktu
vajadzēt	nevajadzētu
vajadzēt	nevajag
varēt	nevar
varēt	nevaram
varēt	nevaru
varēt	nevarēja
varēt	nevarēju
varēt	nevarēs
varēt	nevarētu
neviena	nevienas
nevis	nevis
vēlēties	nevēlas
nez	nez
nezin	nezin
zināt	nezina
zināt	nezinu
ļaut	neļauj
Niklāvs	niklāvs
no	no
nodarboties	nodarbojas
nodaļa	nodaļas
nodaļa	nodaļā
nodomāt	nodomāja
nodrošināt	nodrošina
nodrošināt	nodrošinot
nodrošināt	nodrošināta
nodrošināt	nodrošinātu
nodrošināt	nodrošinātās
nogale	nogalē
nogādāt	nogādāts
noliegt	noliedz
nolemt	nolēma
nolemt	nolēmis
nolemt	nolēmusi
nolemt	nolēmām
nomirt	nomira
nomods	nomodā
nonākt	nonāca
nonākt	nonācis
nonākt	nonāk
nonākt	nonākot
nonākt	nonāks
nonākt	nonākusi
nonākt	nonākuši
nopietni	nopietni
nopūsties	nopūtās
noraidīt	noraidīja
norise	norises
norise	norisi
norisināties	norisinās
noritēt	norit
normatīvs	normatīvajos
norādīt	norāda
norāde	norādes
norādīt	norādot
norādīt	norādīja
norādīt	norādījis
norādīt	norādīts
nosacījums	nosacījumi
nosacījums	nosacījumiem
nosacījums	nosacījumus
nosacīt	nosaka
noskaidrot	noskaidroja
noskaidrot	noskaidrots
noskaidrot	noskaidrotu
noskaņa	noskaņu
noslēgt	noslēgts
nostāja	nostāju
nostāties	nostājās
nosūtīt	nosūta
nosūtīt	nosūtīti
noteikt	noteikta
noteikt	noteiktajā
noteikt	noteiktas
noteikt	noteikto
noteikt	noteikts
noteikt	noteiktā
notikt	notiekošo
notīrīt	notīra
novākt	novāca
novērot	novēroja
novērot	novērots
novērst	novērstu
novērtēt	novērtē
novērtēt	novērtēja
nu	nu
nākties	nācies
nākties	nācās
nākamgad	nākamgad
nākties	nākas
nākties	nāksies
nākt	nākt
nē	nē
objekts	objekti
objekts	objektiem
objekts	objektu
oficiāli	oficiāli
optimāls	optimālo
otrais	otrais
otrais	otrajam
otrais	otrajā
otrais	otro
otrpus	otrpus
pa	pa
paaudze	paaudzes
paaugstināt	paaugstināt
pabalsts	pabalsta
pabalsts	pabalstus
pacelt	paceļ
pacelt	pacēla
padarīt	padara
padarīt	padarot
padarīt	padarīja
padoties	padodas
padoms	padomu
pagaidu	pagaidu
pagaidām	pagaidām
pagarināt	pagarināts
paiet	pagāja
paiet	pagājušajā
paiet	pagājušo
paiet	pagājušā
paiet	pagājušās
pakalpojums	pakalpojumi
pakalpojums	pakalpojumus
pakaļ	pakaļ
palielināt	palielina
palielināt	palielinot
palielināties	palielinās
pamanīt	pamanījis
pamatne	pamatnes
pamatoties	pamatojoties
pamatojums	pamatojums
pamatot	pamatot
pamest	pamet
papildināt	papildina
par	par
paraksts	parakstu
paralēls	paralēlo
parasti	parasti
pareizi	pareizi
pareizi	pareizāk
partneris	partneriem
parunāt	parunāt
parādīties	parādās
parādīt	parādīja
parādīties	parādījās
parādīt	parādīt
pasargāt	pasargā
pasažieris	pasažieru
paskaidrot	paskaidroja
pasniegt	pasniedz
pastāstīt	pastāsta
pastāstīt	pastāstīja
pat	pat
pateikties	pateicoties
pati	pati
patiesi	patiesi
patiess	patieso
patiešām	patiešām
patēriņš	patēriņa
patērētājs	patērētāju
paust	pauda
paust	pauž
pavadīt	pavada
pavadīt	pavadīja
paveikties	paveicies
paveikt	paveikts
pavēstīt	pavēstīja
paziņot	paziņo
paziņot	paziņoja
paziņot	paziņojis
paziņot	paziņojusi
pazust	pazuda
pazust	pazūd
paņemt	paņem
paņemt	paņēmu
pati	pašai
pati	pašas
pašreizējs	pašreizējo
pašvaldība	pašvaldībai
pati	pašām
pedagogs	pedagogu
pedagoģisks	pedagoģisko
pensija	pensiju
peļņa	peļņu
pie	pie
pieaugt	pieaudzis
pieaugt	pieaug
pieaugt	pieauga
pieaugt	pieaugot
pieaugt	pieaugs
piebilst	piebilda
piecelties	pieceļas
piecelties	piecēlās
piedalīties	piedaloties
piedalīties	piedalās
piedalīties	piedalījusies
piedalīties	piedalījušies
piedalīties	piedalījās
piedalīties	piedalīsies
piedzīvot	piedzīvo
piedzīvot	piedzīvoja
piedāvāt	piedāvā
piedāvāt	piedāvāja
piedāvāt	piedāvās
piedāvāt	piedāvāt
piedāvāt	piedāvāta
piedāvāt	piedāvāto
piedāvāt	piedāvātā
pieiet	pieejama
pieiet	pieejamas
pieiet	pieejami
pieiet	pieejamo
piegāde	piegādes
piegādāt	piegādā
piekrišana	piekrišana
piemiņa	piemiņas
piemērot	piemērot
piemērot	piemērota
piemērot	piemērotas
piemērot	piemērots
piemist	piemīt
pienākt	pienāca
pienākt	pienācis
pienākt	pienāk
pienākties	pienākas
pienākt	pienāks
pienākums	pienākumiem
pienākums	pienākumus
pieprasīt	pieprasīja
pieprasījums	pieprasījums
pieslēgt	pieslēgti
piestātne	piestātnes
pietikt	pietiek
pietrūkt	pietrūkst
pievienot	pievieno
pievērsties	pievērsās
piezvanīt	piezvanīja
pieļaut	pieļauj
pieņemt	pieņem
pieņemt	pieņemti
pieņemt	pieņemts
pieņemt	pieņēma
piešķirt	piešķir
piešķirt	piešķirta
pilns	pilnas
pilnīgi	pilnīgi
pilsonis	pilsoņu
pirms	pirms
plauša	plaušu
plašs	plašas
plašsaziņas	plašsaziņas
plaši	plašāk
plašs	plašākas
plkst.	plkst.
plānot	plāno
plānot	plānots
plūst	plūda
plūdi	plūdu
plūsma	plūsmu
policists	policisti
politisks	politisko
politiķis	politiķi
politiķis	politiķu
populārs	populāra
portāls	portāla
portāls	portālam
portāls	portālu
portāls	portālā
potenciāls	potenciālu
pozitīvs	pozitīva
pozitīvs	pozitīvu
poza	pozā
prasme	prasmju
precīzi	precīzi
precīzi	precīzāk
premjers	premjeru
prese	preses
prese	presē
pret	pret
prezidentūra	prezidentūras
priecāties	priecājas
prieks	prieku
priekš	priekš
priekšsēdētājs	priekšsēdētāju
princips	principi
princips	princips
princips	principu
prioritāte	prioritātēm
privāts	privāto
privāts	privātā
procedūra	procedūra
procedūra	procedūras
procedūra	procedūru
procents	procentiem
procents	procentu
profesionāls	profesionālu
profesionāls	profesionālās
prognozēt	prognozē
prognozēt	prognozēt
programma	programmai
programma	programmas
programma	programmu
programma	programmā
programma	programmām
programma	programmās
protests	protesta
protests	protesti
protestēt	protestēja
proti	proti
publisks	publiskajā
pulcēties	pulcējās
pulksten	pulksten
pusaudzis	pusaudžu
pusgads	pusgadu
pusotrs	pusotra
pusotrs	pusotru
pār	pār
pārbaudīt	pārbauda
pārbaude	pārbaudes
pārbaude	pārbaudi
pārdzīvot	pārdzīvo
pāri	pāri
pārliecināties	pārliecināties
pārmaiņa	pārmaiņas
pārmaiņa	pārmaiņām
pārsla	pārslas
pārsteigt	pārsteidz
pārsteigt	pārsteidza
pārsteigt	pārsteigta
pārstāve	pārstāve
pārvietoties	pārvietojas
pārvērsties	pārvēršas
pārējais	pārējie
pārējais	pārējiem
pārējais	pārējos
pārējā	pārējās
pārņemt	pārņem
pārņemt	pārņēma
pēc	pēc
pēdējais	pēdējiem
pēdējais	pēdējo
pēdējais	pēdējos
pēdējais	pēdējā
pēdējais	pēdējās
pēkšņi	pēkšņi
pērn	pērn
pētnieks	pētnieki
pētījums	pētījumi
pētījums	pētījumos
radīt	rada
radīt	radošo
radīt	radošā
radīt	radošās
rasties	radusies
radīt	radīta
radīt	radīto
rajons	rajona
rajons	rajonos
rajons	rajonu
rajons	rajonā
rapsis	rapšu
ražotne	ražotne
ražotājs	ražotājiem
ražotājs	ražotāju
reakcija	reakciju
redzēt	redzama
redzēt	redzējusi
redzēt	redzējuši
redzēt	redzēto
reforma	reformas
reforma	reformu
reforma	reformām
reklāma	reklāmas
respondents	respondentu
resurss	resursi
resurss	resursu
resurss	resursus
rezerve	rezerves
reģions	reģiona
reģions	reģionos
reģions	reģionā
reģionāls	reģionālā
reģionāls	reģionālās
riepa	riepas
risināt	risina
risinājums	risinājumi
risinājums	risinājums
risināt	risinātu
risināšana	risināšanā
rosināt	rosina
runa	runa
runāt	runājuši
rēķināt	rēķinot
rīkot	rīkoto
rīt	rīt
rīts	rītu
rūpēties	rūpējas
rūpīgi	rūpīgi
rūpīgi	rūpīgāk
sabiedrisks	sabiedrisko
sadale	sadales
sadalījums	sadalījums
sagaidīt	sagaida
sagatavot	sagatavo
sagatavot	sagatavoja
sagatavot	sagatavots
saglabāt	saglabā
sagriezt	sagriez
sagriezt	sagriež
sagādāt	sagādā
saimniece	saimniece
